epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5052,0.74497,5.17782,1.03584,0.01503,0.07527,0.04023,0.04023,0.28829,3.9083,0.78832,9.36897e-05,9.36897e-05,9.36897e-05
2,50.6179,0.58037,4.47151,0.92355,0.69464,0.24131,0.35932,0.33992,0.35833,3.12793,0.79184,0.000187775,0.000187775,0.000187775
3,70.9588,0.59251,3.89978,0.92031,0.72098,0.44624,0.6625,0.62742,0.36808,1.95461,0.82763,0.000280603,0.000280603,0.000280603
4,92.8315,0.57125,3.18359,0.91298,0.63468,0.7957,0.87074,0.83409,0.34947,1.20398,0.83595,0.000280337,0.000280337,0.000280337
5,113.195,0.53366,2.60625,0.89602,0.67451,0.869,0.90675,0.87351,0.35024,0.9695,0.84796,0.00027845,0.00027845,0.00027845
6,135.103,0.49423,2.25594,0.8864,0.87345,0.92473,0.99234,0.95048,0.3312,0.73606,0.83337,0.000276562,0.000276562,0.000276562
7,155.551,0.46164,2.00044,0.87227,0.80781,0.961,0.995,0.97165,0.28589,0.59365,0.82316,0.000274674,0.000274674,0.000274674
8,176.902,0.4611,1.77703,0.87752,0.88166,0.9645,0.995,0.9784,0.27734,0.50901,0.82108,0.000272787,0.000272787,0.000272787
9,197.164,0.44025,1.64202,0.86375,0.90564,0.96694,0.995,0.97457,0.29126,0.48207,0.81855,0.000270899,0.000270899,0.000270899
10,219.234,0.41554,1.51666,0.85352,0.93106,0.96774,0.995,0.98129,0.2744,0.43834,0.81241,0.000269012,0.000269012,0.000269012
11,239.226,0.40719,1.42236,0.85639,0.95836,1,0.995,0.98544,0.25878,0.37598,0.81178,0.000267124,0.000267124,0.000267124
12,260.602,0.40464,1.37169,0.8655,0.93832,1,0.995,0.98315,0.26183,0.3878,0.80192,0.000265236,0.000265236,0.000265236
