epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5611,0.62014,5.00232,0.96718,0.02291,0.31111,0.10884,0.10802,0.26574,3.86389,0.76105,9.625e-05,9.625e-05,9.625e-05
2,46.8721,0.52433,4.21058,0.91598,0.72109,0.18889,0.45668,0.44833,0.32911,2.84468,0.78,0.000192968,0.000192968,0.000192968
3,66.876,0.5288,3.5078,0.90378,0.70912,0.64412,0.77187,0.73494,0.36535,1.48839,0.79713,0.000288392,0.000288392,0.000288392
4,85.4107,0.52159,2.87856,0.89523,0.7798,0.69215,0.83964,0.811,0.34271,1.16179,0.79687,0.000288179,0.000288179,0.000288179
5,105.707,0.48781,2.32572,0.88477,0.81774,0.90792,0.97842,0.96286,0.33424,0.71359,0.79711,0.000286238,0.000286238,0.000286238
6,124.632,0.44194,2.00159,0.87142,0.86799,0.93333,0.995,0.96915,0.31252,0.57653,0.79774,0.000284298,0.000284298,0.000284298
7,143.597,0.42185,1.82711,0.86256,0.85937,0.99385,0.995,0.97608,0.25882,0.4726,0.79145,0.000282358,0.000282358,0.000282358
8,163.914,0.40729,1.65144,0.85145,0.89809,0.96667,0.995,0.97631,0.28293,0.45574,0.78484,0.000280417,0.000280417,0.000280417
9,182.723,0.38255,1.49776,0.84175,0.87068,1,0.995,0.98075,0.25288,0.41384,0.78199,0.000278477,0.000278477,0.000278477
10,202.62,0.38238,1.40726,0.85224,0.93573,0.96667,0.995,0.98629,0.24627,0.38446,0.78195,0.000276536,0.000276536,0.000276536
11,221.351,0.37623,1.37489,0.84407,0.96324,0.98241,0.995,0.9797,0.2564,0.37872,0.78357,0.000274596,0.000274596,0.000274596
12,239.892,0.3857,1.3186,0.85247,0.95946,1,0.995,0.9896,0.26597,0.37106,0.77912,0.000272656,0.000272656,0.000272656
13,259.969,0.36462,1.24321,0.84654,0.94059,0.99067,0.995,0.99395,0.24133,0.35316,0.77953,0.000270715,0.000270715,0.000270715
14,278.417,0.35632,1.19287,0.84076,0.96036,1,0.995,0.98031,0.2332,0.36879,0.78069,0.000268775,0.000268775,0.000268775
15,298.754,0.34814,1.14933,0.84004,0.96621,1,0.995,0.98812,0.2519,0.33177,0.77983,0.000266834,0.000266834,0.000266834
16,317.701,0.35698,1.11532,0.84165,0.91653,1,0.995,0.97947,0.24176,0.34803,0.78165,0.000264894,0.000264894,0.000264894
17,336.262,0.34213,1.07979,0.83684,0.96093,1,0.995,0.98527,0.24395,0.35132,0.78124,0.000262954,0.000262954,0.000262954
18,356.586,0.32953,1.04675,0.83202,0.95477,1,0.995,0.99252,0.21622,0.324,0.77822,0.000261013,0.000261013,0.000261013
19,374.859,0.32182,0.98515,0.83465,0.9474,0.96667,0.995,0.99063,0.22178,0.33264,0.77844,0.000259073,0.000259073,0.000259073
20,394.54,0.31551,0.98307,0.83896,0.93661,1,0.995,0.99254,0.22731,0.29568,0.77234,0.000257132,0.000257132,0.000257132
21,413.348,0.32263,0.94806,0.83951,0.94287,1,0.995,0.9878,0.20985,0.31946,0.77627,0.000255192,0.000255192,0.000255192
22,432.209,0.32383,0.94748,0.82733,0.96134,1,0.995,0.99217,0.21705,0.30527,0.77643,0.000253252,0.000253252,0.000253252
23,452.132,0.32229,0.89694,0.83762,0.93597,1,0.995,0.98723,0.22498,0.29816,0.76955,0.000251311,0.000251311,0.000251311
24,470.896,0.30925,0.86846,0.83968,0.94288,1,0.995,0.98927,0.19969,0.29355,0.76842,0.000249371,0.000249371,0.000249371
25,489.05,0.31047,0.84205,0.82725,0.96516,1,0.995,0.99218,0.20209,0.29919,0.77202,0.00024743,0.00024743,0.00024743
26,508.984,0.30859,0.84921,0.83401,0.94603,1,0.995,0.98885,0.20699,0.33492,0.77425,0.00024549,0.00024549,0.00024549
27,527.529,0.28996,0.76525,0.82592,0.96982,0.99979,0.995,0.99397,0.21106,0.28542,0.77373,0.00024355,0.00024355,0.00024355
28,547.355,0.30396,0.77904,0.83693,0.9654,0.96667,0.995,0.98239,0.22195,0.3238,0.77126,0.000241609,0.000241609,0.000241609
29,566.353,0.30524,0.77873,0.83058,0.93214,1,0.995,0.98847,0.20615,0.2961,0.77034,0.000239669,0.000239669,0.000239669
30,584.626,0.29753,0.76072,0.82784,0.96677,0.99871,0.995,0.98813,0.21345,0.29509,0.76813,0.000237728,0.000237728,0.000237728
31,604.787,0.30034,0.71926,0.82774,0.9659,1,0.995,0.9896,0.20324,0.2767,0.76813,0.000235788,0.000235788,0.000235788
32,623.031,0.29512,0.72036,0.82383,0.93794,1,0.995,0.99401,0.19247,0.29094,0.77217,0.000233848,0.000233848,0.000233848
